,name,artist,spotify_id,release_date,genres
201,Dark Horse,Katy Perry,4jbmgIyjGoXjY01XxatOx6,2013-01-01,['pop']
202,All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,"['soft pop', 'neo soul']"
203,Fancy,Iggy Azalea,3W3KtDwAIg3mAruSpnfG3Q,2014-01-01,[]
204,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,2013-01-01,['soft pop']
205,Talk Dirty,Jason Derulo,5l3CML2OnzfNs5RfVgbcLt,2013-09-10,[]
206,Rude,Magic!,6RtPijgfPKROxEzTHNRiDp,2014-06-25,[]
207,All About That Bass,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7,2015-01-12,[]
208,Problem,Ariana Grande,7vS3Y0IKjde7Xg85LWIEdP,2014-08-22,['pop']
209,Stay with Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,2014-05-26,['soft pop']
210,Timber,Pitbull,3cHyrEgdyYRjgJKSOiOtcS,2012,[]
211,Pompeii,Bastille,6fNhZRFEkBfgW39W3wKARJ,2013-01-01,[]
212,Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD,2014-01-01,[]
213,Am I Wrong,Nico & Vinz,1fidCEsYlaVE3pHwKCvpFZ,2014,[]
214,Turn Down for What,DJ Snake & Lil Jon,67awxiNHNyjMXhVgsHuIrs,2013-12-18,[]
215,The Monster,Eminem,48RrDBpOSSl1aLVCalGl5C,2013-11-05,"['rap', 'hip hop']"
216,Say Something,A Great Big World & Christina Aguilera,5TvE3pk05pyFIGdSY9j4DJ,2014-01-13,[]
217,Team,Lorde,3G6hD9B2ZHOsgf4WfNu7X1,2013-09-27,[]
218,Let Her Go,Passenger,2pUpNOgJBIBCcjyQZQ00qU,2013-11-29,['folk pop']
219,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,2013-09-27,[]
220,Let It Go,Idina Menzel,0qcr5FMsEO85NAQjrlDRKo,2013-01-01,['musicals']
221,Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2,2013-01-01,['edm']
222,Demons,Imagine Dragons,5qaEfEh1AtSdrdrByCP7qR,2012-09-04,[]
223,Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg,2013-11-25,[]
