,billboard_year,rank,name,artist,featuring,target
446,2014,47,Ain't It Fun,Paramore,,1
447,2014,48,The Man,Aloe Blacc,,1
448,2014,49,This Is How We Roll,Florida Georgia Line,Luke Bryan,1
449,2014,50,Classic,MKTO,,1
450,2014,51,A Sky Full of Stars,Coldplay,,1
451,2014,52,Don't,Ed Sheeran,,1
452,2014,53,Na Na,Trey Songz,,1
453,2014,54,Hot Boy,Bobby Shmurda,,1
454,2014,55,"Hold On, We're Going Home",Drake,Majid Jordan,1
455,2014,56,Sing,Ed Sheeran,,1
456,2014,57,Radioactive,Imagine Dragons,,1
457,2014,58,My Hitta,YG,Jeezy & Rich Homie Quan,1
458,2014,59,Cool Kids,Echosmith,,1
459,2014,60,Hey Brother,Avicii,,1
460,2014,61,Trumpets,Jason Derulo,,1
461,2014,62,Animals,Maroon 5,,1
462,2014,63,Burnin' It Down,Jason Aldean,,1
463,2014,64,Play It Again,Luke Bryan,,1
464,2014,65,2 On,Tinashe,ScHoolboy Q,1
465,2014,66,Dirt,Florida Georgia Line,,1
466,2014,67,Love Runs Out,OneRepublic,,1
467,2014,68,Bottoms Up,Brantley Gilbert,,1
468,2014,69,Shower,Becky G,,1
469,2014,70,Me and My Broken Heart,Rixton,,1
470,2014,71,Animals,Martin Garrix,,1
471,2014,72,Lifestyle,Rich Gang,Young Thug & Rich Homie Quan,1
472,2014,73,American Kids,Kenny Chesney,,1
473,2014,74,Brave,Sara Bareilles,,1
474,2014,75,Sweater Weather,The Neighbourhood,,1
475,2014,76,Leave the Night On,Sam Hunt,,1
476,2014,77,New Flame,Chris Brown,Usher & Rick Ross,1
477,2014,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,,1
478,2014,79,Drunk on a Plane,Dierks Bentley,,1
479,2014,80,Birthday,Katy Perry,,1
480,2014,81,Bartender,Lady Antebellum,,1
481,2014,82,La La La,Naughty Boy,Sam Smith,1
482,2014,83,Blurred Lines,Robin Thicke,T.I. & Pharrell Williams,1
483,2014,84,Do What U Want,Lady Gaga,R. Kelly,1
484,2014,85,Can't Remember to Forget You,Shakira,Rihanna,1
485,2014,86,Amnesia,5 Seconds of Summer,,1
486,2014,87,No Mediocre,T.I.,Iggy Azalea,1
487,2014,88,Come with Me Now,KONGOS,,1
488,2014,89,Believe Me,Lil Wayne,Drake,1
489,2014,90,23,Mike WiLL Made-It,Miley Cyrus & Wiz Khalifa & Juicy J,1
490,2014,91,Beachin',Jake Owen,,1
491,2014,92,White Walls,Macklemore & Ryan Lewis,ScHoolboy Q & Hollis,1
492,2014,93,She Looks So Perfect,5 Seconds of Summer,,1
493,2014,94,Stay the Night,Zedd,Hayley Williams,1
494,2014,95,Partition,Beyoncé,,1
495,2014,96,Studio,ScHoolboy Q,BJ the Chicago Kid,1
496,2014,97,0 to 100 / The Catch Up,Drake,,1
497,2014,98,I Don't Dance,Lee Brice,,1
498,2014,99,Somethin' Bad,Miranda Lambert & Carrie Underwood,,1
499,2014,100,Adore You,Miley Cyrus,,1
500,2015,1,Uptown Funk,Mark Ronson,Bruno Mars,1
501,2015,2,Thinking Out Loud,Ed Sheeran,,1
502,2015,3,See You Again,Wiz Khalifa,Charlie Puth,1
503,2015,4,Trap Queen,Fetty Wap,,1
504,2015,5,Sugar,Maroon 5,,1
505,2015,6,Shut Up and Dance,Walk the Moon,,1
506,2015,7,Blank Space,Taylor Swift,,1
507,2015,8,Watch Me,Silentó,,1
508,2015,9,Earned It,The Weeknd,,1
509,2015,10,The Hills,The Weeknd,,1
